,Country,Capital City
0,Afghanistan,Kabul
1,Albania,Tirana (Tirane)
2,Algeria,Algiers
3,Andorra,Andorra la Vella
4,Angola,Luanda
5,Antigua and Barbuda,Saint John's
6,Argentina,Buenos Aires
7,Armenia,Yerevan
8,Australia,Canberra
9,Austria,Vienna
10,Azerbaijan,Baku
11,Bahamas,Nassau
12,Bahrain,Manama
13,Bangladesh,Dhaka
14,Barbados,Bridgetown
15,Belarus,Minsk
16,Belgium,Brussels
17,Belize,Belmopan
18,Benin,Porto Novo[1]
19,Bhutan,Thimphu
20,Bolivia,"La Paz (administrative), Sucre (official)[2]"
21,Bosnia and Herzegovina,Sarajevo
22,Botswana,Gaborone
23,Brazil,Brasilia
24,Brunei,Bandar Seri Begawan
25,Bulgaria,Sofia
26,Burkina Faso,Ouagadougou
27,Burundi,Gitega[3]
28,Cambodia,Phnom Penh
29,Cameroon,Yaounde
30,Canada,Ottawa
31,Cape Verde,Praia
32,Central African Republic,Bangui
33,Chad,N'Djamena
34,Chile,Santiago
35,China,Beijing
36,Colombia,Bogota
37,Comoros,Moroni
38,"Congo, Democratic Republic of the",Kinshasa
39,"Congo, Republic of the",Brazzaville
40,Costa Rica,San Jose
41,CÃ´te d'Ivoire (Ivory Coast),Yamoussoukro[4]
42,Croatia,Zagreb
43,Cuba,Havana
44,Cyprus,Nicosia
45,Czech Republic (Czechia)[5],Prague
46,Denmark,Copenhagen
47,Djibouti,Djibouti
48,Dominica,Roseau
49,Dominican Republic,Santo Domingo
50,East Timor,Dili
51,Ecuador,Quito
52,Egypt,Cairo
53,El Salvador,San Salvador
54,England[6],London
55,Equatorial Guinea,Malabo
56,Eritrea,Asmara
57,Estonia,Tallinn
58,Eswatini (Swaziland)[7],Mbabane[8]
59,Ethiopia,Addis Ababa
60,Federated States of Micronesia,Palikir
61,Fiji,Suva
62,Finland,Helsinki
63,France,Paris
64,Gabon,Libreville
65,Gambia,Banjul
66,Georgia,Tbilisi
67,Germany,Berlin
68,Ghana,Accra
69,Greece,Athens
70,Grenada,Saint George's
71,Guatemala,Guatemala City
72,Guinea,Conakry
73,Guinea-Bissau,Bissau
74,Guyana,Georgetown
75,Haiti,Port au Prince
76,Honduras,Tegucigalpa
77,Hungary,Budapest
78,Iceland,Reykjavik
79,India,New Delhi
80,Indonesia,Jakarta[9]
81,Iran,Tehran
82,Iraq,Baghdad
83,Ireland,Dublin
84,Israel,Jerusalem (very limited international recognition)[10]
85,Italy,Rome
86,Jamaica,Kingston
87,Japan,Tokyo
88,Jordan,Amman
89,Kazakhstan,Astana[11]
90,Kenya,Nairobi
91,Kiribati,Tarawa Atoll
92,Kosovo,Pristina
93,Kuwait,Kuwait City
94,Kyrgyzstan,Bishkek
95,Laos,Vientiane
96,Latvia,Riga
97,Lebanon,Beirut
98,Lesotho,Maseru
99,Liberia,Monrovia
100,Libya,Tripoli
101,Liechtenstein,Vaduz
102,Lithuania,Vilnius
103,Luxembourg,Luxembourg
104,Madagascar,Antananarivo
105,Malawi,Lilongwe
106,Malaysia,Kuala Lumpur[12]
107,Maldives,Male
108,Mali,Bamako
109,Malta,Valletta
110,Marshall Islands,Majuro
111,Mauritania,Nouakchott
112,Mauritius,Port Louis
113,Mexico,Mexico City
114,Moldova,Chisinau
115,Monaco,Monaco
116,Mongolia,Ulaanbaatar
117,Montenegro,Podgorica
118,Morocco,Rabat
119,Mozambique,Maputo
120,Myanmar (Burma),Nay Pyi Taw[13]
121,Namibia,Windhoek
122,Nauru,No official capital
123,Nepal,Kathmandu
124,Netherlands,Amsterdam[14]
125,New Zealand,Wellington
126,Nicaragua,Managua
127,Niger,Niamey
128,Nigeria,Abuja
129,North Korea,Pyongyang
130,North Macedonia (Macedonia)[15],Skopje
131,Northern Ireland[16],Belfast
132,Norway,Oslo
133,Oman,Muscat
134,Pakistan,Islamabad
135,Palau,Melekeok
136,Palestine[17],Jerusalem (very limited international recognition)[18]
137,Panama,Panama City
138,Papua New Guinea,Port Moresby
139,Paraguay,Asuncion
140,Peru,Lima
141,Philippines,Manila
142,Poland,Warsaw
143,Portugal,Lisbon
144,Qatar,Doha
145,Romania,Bucharest
146,Russia,Moscow
147,Rwanda,Kigali
148,Saint Kitts and Nevis,Basseterre
149,Saint Lucia,Castries
150,Saint Vincent and the Grenadines,Kingstown
151,Samoa,Apia
152,San Marino,San Marino
153,Sao Tome and Principe,Sao Tome
154,Saudi Arabia,Riyadh
155,Scotland[19],Edinburgh
156,Senegal,Dakar
157,Serbia,Belgrade
158,Seychelles,Victoria
159,Sierra Leone,Freetown
160,Singapore,Singapore
161,Slovakia,Bratislava
162,Slovenia,Ljubljana
163,Solomon Islands,Honiara
164,Somalia,Mogadishu
165,South Africa,"Pretoria, Bloemfontein, Cape Town[20]"
166,South Korea,Seoul
167,South Sudan,Juba
168,Spain,Madrid
169,Sri Lanka,Sri Jayawardenapura Kotte[21]
170,Sudan,Khartoum
171,Suriname,Paramaribo
172,Sweden,Stockholm
173,Switzerland,Bern
174,Syria,Damascus
175,Taiwan[22],Taipei
176,Tajikistan,Dushanbe
177,Tanzania,Dodoma[23]
178,Thailand,Bangkok
179,Togo,Lome
180,Tonga,Nuku'alofa
181,Trinidad and Tobago,Port of Spain
182,Tunisia,Tunis
183,TÃ¼rkiye (Turkey)[24],Ankara
184,Turkmenistan,Ashgabat
185,Tuvalu,Funafuti[25]
186,Uganda,Kampala
187,Ukraine,Kyiv or Kiev
188,United Arab Emirates,Abu Dhabi
189,United Kingdom,London
190,United States,Washington D.C.
191,Uruguay,Montevideo
192,Uzbekistan,Tashkent
193,Vanuatu,Port Vila
194,Vatican City,Vatican City
195,Venezuela,Caracas
196,Vietnam,Hanoi
197,Wales[26],Cardiff
198,Yemen,Sana'a[27]
199,Zambia,Lusaka
200,Zimbabwe,Harare
